BLE_fischart;species_code;german_name;species_name;species_namesc;target_assemblage_code;grouped_species;target_assemblage
TUD;TUD;NA;African scad;Trachurus delagoa;SPF;not defined;Small pelagic fish
TRY;TRY;NA;Yellowstripe scad;Selaroides leptolepis;SPF;not defined;Small pelagic fish
LSN;LSN;NA;Blackfin scad;Alepes melanoptera;SPF;not defined;Small pelagic fish
LSV;LSV;NA;Herring scad;Alepes vari;SPF;not defined;Small pelagic fish
TUM;TUM;NA;Yellowtail scad;Atule mate;SPF;not defined;Small pelagic fish
PCB;PCB;NA;Barnacle;Pollicipes pollicipes;MOL;not defined;Molluscs
GOO;GOO;NA;Goose barnacles nei;Lepas spp;MOL;not defined;Molluscs
SDK;SDK;NA;Scalpellidae barnacles nei;Scalpellidae;MOL;not defined;Molluscs
LKD;LKD;NA;Lepadidae barnacles nei;Lepadidae;MOL;not defined;Molluscs
MBZ;MBZ;NA;Giant barnacle;Austromegabalanus psittacus;MOL;not defined;Molluscs
ISC;ISC;NA;Iceland scallop;Chlamys islandica;MOL;not defined;Molluscs
SCC;SCC;NA;Calico scallop;Argopecten gibbus;MOL;not defined;Molluscs
QSC;QSC;NA;Queen scallop;Aequipecten opercularis;MOL;not defined;Molluscs
SCZ;SCZ;NA;New Zealand scallop;Pecten novaezelandiae;MOL;not defined;Molluscs
SCA;SCA;NA;American sea scallop;Placopecten magellanicus;MOL;not defined;Molluscs
VSC;VSC;NA;Variegated scallop;Chlamys varia;MOL;not defined;Molluscs
SCX;SCX;NA;Scallops nei;Pectinidae;MOL;not defined;Molluscs
SCQ;SCQ;NA;Peruvian calico scallop;Argopecten purpuratus;MOL;not defined;Molluscs
SJA;SJA;NA;Great Mediterranean scallop;Pecten jacobaeus;MOL;not defined;Molluscs
JSC;JSC;NA;Yesso scallop;Patinopecten yessoensis;MOL;not defined;Molluscs
SCH;SCH;NA;Pacific calico scallop;Argopecten ventricosus;MOL;not defined;Molluscs
FXG;FXG;NA;Smooth scallop;Flexopecten glaber;MOL;not defined;Molluscs
UMY;UMY;NA;Paper moon scallop;Amusium papyraceum;MOL;not defined;Molluscs
SSC;SSC;NA;Southern Australia scallop;Pecten fumatus;MOL;not defined;Molluscs
FXF;FXF;NA;Flexuous scallop;Flexopecten flexuosus;MOL;not defined;Molluscs
KTZ;KTZ;NA;Pecten scallops nei;Pecten spp;MOL;not defined;Molluscs
KMM;KMM;NA;Little bay scallop;Chlamys multistriata;MOL;not defined;Molluscs
DOL;DOL;NA;Common dolphinfish;Coryphaena hippurus;LPF;not defined;Large pelagic fish
CFW;CFW;NA;Pompano dolphinfish;Coryphaena equiselis;LPF;not defined;Large pelagic fish
DOX;DOX;NA;Dolphinfishes nei;Coryphaenidae;LPF;not defined;Large pelagic fish
EAT;EAT;NA;Bigfin anchovy;Anchoa pectoralis;SPF;not defined;Small pelagic fish
ANB;ANB;NA;Bay anchovy;Anchoa mitchilli;SPF;not defined;Small pelagic fish
STO;STO;NA;Stolephorus anchovies nei;Stolephorus spp;SPF;not defined;Small pelagic fish
AHC;AHC;NA;Bigscale anchovy;Anchovia macrolepidota;SPF;not defined;Small pelagic fish
ENR;ENR;NA;Anchovies nei;Engraulis spp;SPF;not defined;Small pelagic fish
ANA;ANA;NA;Argentine anchovy;Engraulis anchoita;SPF;not defined;Small pelagic fish
ANX;ANX;NA;Anchovies, etc. nei;Engraulidae;SPF;not defined;Small pelagic fish
EAE;EAE;NA;Eigenmann's anchovy;Anchoa eigenmannia;SPF;not defined;Small pelagic fish
EAH;EAH;NA;Spicule anchovy;Anchoa spinifer;SPF;not defined;Small pelagic fish
ESB;ESB;NA;Shorthead hairfin anchovy;Setipinna breviceps;SPF;not defined;Small pelagic fish
EAR;EAR;NA;Short anchovy;Anchoa curta;SPF;not defined;Small pelagic fish
EJJ;EJJ;NA;Jurua anchovy;Jurengraulis juruensis;SPF;not defined;Small pelagic fish
VET;VET;NA;Anchoveta(=Peruvian anchovy);Engraulis ringens;SPF;not defined;Small pelagic fish
EAA;EAA;NA;Regan's anchovy;Anchoa argentivittata;SPF;not defined;Small pelagic fish
EAI;EAI;NA;Slender anchovy;Anchoa ischana;SPF;not defined;Small pelagic fish
ANR;ANR;NA;Atlantic sabretooth anchovy;Lycengraulis grossidens;SPF;not defined;Small pelagic fish
STL;STL;NA;Buccaneer anchovy;Encrasicholina punctifer;SPF;not defined;Small pelagic fish
RAA;RAA;NA;Osbeck's grenadier anchovy;Coilia mystus;SPF;not defined;Small pelagic fish
ANC;ANC;NA;Southern African anchovy;Engraulis capensis;SPF;not defined;Small pelagic fish
ENP;ENP;NA;Broad-striped anchovy;Anchoa hepsetus;SPF;not defined;Small pelagic fish
AHU;AHU;NA;Zabaleta anchovy;Anchovia clupeoides;SPF;not defined;Small pelagic fish
EYB;EYB;NA;Baelama anchovy;Thryssa baelama;SPF;not defined;Small pelagic fish
ESW;ESW;NA;Spotty-face anchovy;Stolephorus waitei;SPF;not defined;Small pelagic fish
SSP;SSP;NA;Shortbill spearfish;Tetrapturus angustirostris;LPF;not defined;Large pelagic fish
SPF;SPF;NA;Longbill spearfish;Tetrapturus pfluegeri;LPF;not defined;Large pelagic fish
WHH;WHH;NA;Spearfishes nei;Tetrapturus spp;LPF;not defined;Large pelagic fish
MSP;MSP;NA;Mediterranean spearfish;Tetrapturus belone;LPF;not defined;Large pelagic fish
RSP;RSP;NA;Roundscale spearfish;Tetrapturus georgii;LPF;not defined;Large pelagic fish
URM;URM;NA;Stony sea urchin;Paracentrotus lividus;OTH;not defined;Other
UKB;UKB;NA;Black sea urchin;Arbacia lixula;OTH;not defined;Other
URX;URX;NA;Sea urchins, etc. nei;Echinoidea;OTH;not defined;Other
UCH;UCH;NA;Chilean sea urchin;Loxechinus albus;OTH;not defined;Other
URC;URC;NA;Sea urchins nei;Strongylocentrotus spp;OTH;not defined;Other
URS;URS;NA;European edible sea urchin;Echinus esculentus;OTH;not defined;Other
DCP;DCP;NA;Natantian decapods nei;Natantia;CRU;not defined;Crustaceans
VEN;VEN;NA;Venerupis spp;Venerupis spp;MOL;not defined;Molluscs
CUX;CUX;NA;Sea cucumbers nei;Holothuroidea;CRU;not defined;Crustaceans
JCR;JCR;NA;Royal cucumber;Stichopus regalis;CRU;not defined;Crustaceans
CUJ;CUJ;NA;Japanese sea cucumber;Apostichopus japonicus;CRU;not defined;Crustaceans
JCF;JCF;NA;Giant sea cucumber;Isostichopus fuscus;CRU;not defined;Crustaceans
LEB;LEB;NA;Leaping bonito;Cybiosarda elegans;LPF;not defined;Large pelagic fish
BIP;BIP;NA;Striped bonito;Sarda orientalis;LPF;not defined;Large pelagic fish
BZX;BZX;NA;Bonitos nei;Sarda spp;LPF;not defined;Large pelagic fish
BEP;BEP;NA;Eastern Pacific bonito;Sarda chiliensis;LPF;not defined;Large pelagic fish
BAU;BAU;NA;Australian bonito;Sarda australis;LPF;not defined;Large pelagic fish
BOP;BOP;NA;Plain bonito;Orcynopsis unicolor;LPF;not defined;Large pelagic fish
APU;APU;NA;Sturgeon;Acipenser sturio;ANA;not defined;Anadromous species
AAH;AAH;NA;Amur sturgeon;Acipenser schrenckii;ANA;not defined;Anadromous species
AAA;AAA;NA;Adriatic sturgeon;Acipenser naccarii;ANA;not defined;Anadromous species
AAD;AAD;NA;Yangtze sturgeon;Acipenser dabryanus;ANA;not defined;Anadromous species
AAF;AAF;NA;Lake sturgeon;Acipenser fulvescens;ANA;not defined;Anadromous species
APE;APE;NA;Starry sturgeon;Acipenser stellatus;ANA;not defined;Anadromous species
APB;APB;NA;Siberian sturgeon;Acipenser baerii;ANA;not defined;Anadromous species
AAN;AAN;NA;Fringebarbel sturgeon;Acipenser nudiventris;ANA;not defined;Anadromous species
SVF;SVF;NA;Brook trout;Salvelinus fontinalis;ANA;not defined;Anadromous species
SVO;SVO;NA;Bull trout;Salvelinus confluentus;ANA;not defined;Anadromous species
SOB;SOB;NA;Adriatic trout;Salmothymus obtusirostris;ANA;not defined;Anadromous species
TRR;TRR;NA;Rainbow trout;Oncorhynchus mykiss;ANA;not defined;Anadromous species
YNN;YNN;NA;Silver seatrout;Cynoscion nothus;ANA;not defined;Anadromous species
BOY;BOY;NA;Purple dye murex;Bolinus brandaris;GAS;not defined;Gastropods
BOQ;BOQ;NA;Horned murex;Bolinus cornutus;GAS;not defined;Gastropods
FNT;FNT;NA;Banded murex;Phyllonotus trunculus;GAS;not defined;Gastropods
HXR;HXR;NA;Angular murex;Hexaplex angularis;GAS;not defined;Gastropods
MUE;MUE;NA;Murex;Murex spp;GAS;not defined;Gastropods
FNX;FNX;NA;Duplex murex;Phyllonotus duplex;GAS;not defined;Gastropods
UUR;UUR;NA;Bent-beak murex;Haustellum recurvirostris;GAS;not defined;Gastropods
SQY;SQY;NA;Squillids nei;Squillidae;CRU;not defined;Crustaceans
CON;CON;NA;Stromboid conchs nei;Strombus spp;GAS;not defined;Gastropods
TBE;TBE;NA;Terebellum conch;Terebellum terebellum;GAS;not defined;Gastropods
QSI;QSI;NA;Mutable conch;Strombus mutabilis;GAS;not defined;Gastropods
COO;COO;NA;Queen conch;Strombus gigas;GAS;not defined;Gastropods
TBG;TBG;NA;Giant Eastern Pacific conch;Strombus galeatus;GAS;not defined;Gastropods
TBQ;TBQ;NA;Granulated conch;Strombus granulatus;GAS;not defined;Gastropods
TVR;TVR;NA;Triple venus;Tivela tripla;MOL;not defined;Molluscs
SVE;SVE;NA;Striped venus;Chamelea gallina;MOL;not defined;Molluscs
VEV;VEV;NA;Warty venus;Venus verrucosa;MOL;not defined;Molluscs
PAU;PAU;NA;Undulate venus;Paphia undulata;MOL;not defined;Molluscs
GFD;GFD;NA;Discrepant venus;Gafrarium dispar;MOL;not defined;Molluscs
VUC;VUC;NA;Corrugated venus;Venerupis corrugata;MOL;not defined;Molluscs
KFA;KFA;NA;Chamber venus;Circomphalus casinus;MOL;not defined;Molluscs
TWG;TWG;NA;Gay's little venus;Tawera gayi;MOL;not defined;Molluscs
TQD;TQD;NA;Turgid venus;Tapes dorsatus;MOL;not defined;Molluscs
ITS;ITS;NA;Yellow pitar venus;Pitar citrinus;MOL;not defined;Molluscs
VUD;VUD;NA;Durable venus;Venerupis dura;MOL;not defined;Molluscs
GFJ;GFJ;NA;Tumid venus;Gafrarium tumidum;MOL;not defined;Molluscs
RQE;RQE;NA;Brazilian comb venus;Protothaca pectorina;MOL;not defined;Molluscs
JAP;JAP;NA;Japanese pilchard;Sardinops melanostictus;SPF;not defined;Small pelagic fish
PIA;PIA;NA;Southern African pilchard;Sardinops ocellatus;SPF;not defined;Small pelagic fish
CHP;CHP;NA;South American pilchard;Sardinops sagax;SPF;not defined;Small pelagic fish
CPI;CPI;NA;California pilchard;Sardinops caeruleus;SPF;not defined;Small pelagic fish
AWE;AWE;NA;Geelbek croaker;Atractoscion aequidens;DEF;not defined;Demersal fish
CKW;CKW;NA;West African croakers nei;Pseudotolithus spp;DEF;not defined;Demersal fish
CRV;CRV;NA;Silver croaker;Pennahia argentata;DEF;not defined;Demersal fish
PSS;PSS;NA;Cassava croaker;Pseudotolithus senegalensis;DEF;not defined;Demersal fish
CKL;CKL;NA;Law croaker;Pseudotolithus senegallus;DEF;not defined;Demersal fish
KIC;KIC;NA;White croaker;Genyonemus lineatus;DEF;not defined;Demersal fish
JOB;JOB;NA;Belanger's croaker;Johnius belangerii;DEF;not defined;Demersal fish
MIT;MIT;NA;Tallfin croaker;Micropogonias altipinnis;DEF;not defined;Demersal fish
OTB;OTB;NA;Bronze croaker;Otolithoides biauritus;DEF;not defined;Demersal fish
PSE;PSE;NA;Bobo croaker;Pseudotolithus elongatus;DEF;not defined;Demersal fish
RCS;RCS;NA;Spotfin croaker;Roncador stearnsii;DEF;not defined;Demersal fish
NBS;NBS;NA;Sharpnose croaker;Nibea semifasciata;DEF;not defined;Demersal fish
BOM;BOM;NA;Boeseman croaker;Boesemania microlepis;DEF;not defined;Demersal fish
CKA;CKA;NA;Atlantic croaker;Micropogonias undulatus;DEF;not defined;Demersal fish
CRL;CRL;NA;Blackmouth croaker;Atrobucca nibe;DEF;not defined;Demersal fish
MEU;MEU;NA;Highfin king croaker;Menticirrhus nasus;DEF;not defined;Demersal fish
JCS;JCS;NA;Sharpnose hammer croaker;Johnius borneensis;DEF;not defined;Demersal fish
JOC;JOC;NA;Coitor croaker;Johnius coitor;DEF;not defined;Demersal fish
LYC;LYC;NA;Large yellow croaker;Larimichthys croceus;DEF;not defined;Demersal fish
USL;USL;NA;Bigmouth croaker;Pterotolithus lateoides;DEF;not defined;Demersal fish
JOT;JOT;NA;Leaftail croaker;Johnius trachycephalus;DEF;not defined;Demersal fish
NHK;NHK;NA;Donkey croaker;Pennahia anea;DEF;not defined;Demersal fish
LGQ;LGQ;NA;South American silver croaker;Plagioscion squamosissimus;DEF;not defined;Demersal fish
GRQ;GRQ;NA;Mediterranean geryon;Geryon longipes;CRU;not defined;Crustaceans
GER;GER;NA;Chaceon geryons nei;Chaceon spp;CRU;not defined;Crustaceans
HNQ;HNQ;NA;Pink geryon;Chaceon macphersoni;CRU;not defined;Crustaceans
CGE;CGE;NA;West African geryon;Chaceon maritae;CRU;not defined;Crustaceans
OVI;OVI;NA;Redmouth olive;Oliva miniacea;GAS;not defined;Gastropods
OVL;OVL;NA;Netted olice;Oliva reticularis;GAS;not defined;Gastropods
OVR;OVR;NA;Blood olive;Oliva reticulata;GAS;not defined;Gastropods
OVC;OVC;NA;Purplemouth olive;Oliva caerulea;GAS;not defined;Gastropods
STS;STS;NA;Streaked seerfish;Scomberomorus lineolatus;SPF;not defined;Small pelagic fish
CER;CER;NA;Cero;Scomberomorus regalis;SPF;not defined;Small pelagic fish
KGX;KGX;NA;Seerfishes nei;Scomberomorus spp;SPF;not defined;Small pelagic fish
BOG;BOG;NA;Bogue;Boops boops;DEF;not defined;Demersal fish
COB;COB;NA;Shi drum;Umbrina cirrosa;DEF;not defined;Demersal fish
DEC;DEC;NA;Common dentex;Dentex dentex;DEF;not defined;Demersal fish
JOD;JOD;NA;John dory;Zeus faber;DEF;not defined;Demersal fish
MZZ;MZZ;Meeresfisch N. N. B.;Marine fishes nei;Osteichthyes;DEF;non-target demersal fish;Demersal fish
QUB;QUB;NA;Longnose spurdog;Squalus blainville;DEF;not defined;Demersal fish
RPG;RPG;NA;Red porgy;Pagrus pagrus;DEF;not defined;Demersal fish
SOO;SOO;NA;Solea spp;Solea spp;DEF;not defined;Demersal fish
SSB;SSB;NA;Sand steenbras;Lithognathus mormyrus;DEF;not defined;Demersal fish
ANT;ANT;NA;Blue antimora;Antimora rostrata;DEF;not defined;Demersal fish
BAS;BAS;NA;Combers nei;Serranus spp;DEF;not defined;Demersal fish
BFR;BFR;NA;Benthophilus baeri;Benthophilus baeri;DEF;not defined;Demersal fish
BLE;BLE;NA;Combtooth blennies;Blenniidae;DEF;not defined;Demersal fish
BPB;BPB;NA;Atlantic fanfish;Pterycombus brama;DEF;not defined;Demersal fish
CBR;CBR;NA;Comber;Serranus cabrilla;DEF;not defined;Demersal fish
CFC;CFC;NA;Rendahl's hardyhead;Craterocephalus capreoli;DEF;not defined;Demersal fish
CIB;CIB;NA;Valaam whitefish;Coregonus widegreni;DEF;not defined;Demersal fish
COI;COI;NA;Longfin African conger;Conger cinereus;DEF;not defined;Demersal fish
CYJ;CYJ;NA;Hydrolagus ogilbyi;Hydrolagus ogilbyi;DEF;not defined;Demersal fish
CYT;CYT;NA;Ornate dogfish;Centroscyllium ornatum;DEF;not defined;Demersal fish
DEL;DEL;NA;Large-eye dentex;Dentex macrophthalmus;DEF;not defined;Demersal fish
DEP;DEP;NA;Pink dentex;Dentex gibbosus;DEF;not defined;Demersal fish
FIN;FIN;NA;Finfishes nei;Osteichthyes;DEF;not defined;Demersal fish
FJN;FJN;NA;Chauliodus pammelas;Chauliodus pammelas;DWS;not defined;Deep-water species
FOX;FOX;NA;Forkbeards nei;Phycis spp;DEF;not defined;Demersal fish
GAS;GAS;NA;Gastropods nei;Gastropoda;DEF;not defined;Demersal fish
GAT;GAT;NA;White barbel;Galeichthys feliceps;DEF;not defined;Demersal fish
GEP;GEP;NA;Snake mackerels, escolars nei;Gempylidae;DEF;not defined;Demersal fish
GUZ;GUZ;NA;Guitarfishes nei;Rhinobatos spp;DEF;not defined;Demersal fish
LWX;LWX;NA;Jobfishes nei;Pristipomoides spp;DEF;not defined;Demersal fish
MGS;MGS;NA;Mugil spp;Mugil spp;DEF;not defined;Demersal fish
MIS;MIS;NA;Brightbelly sculpin;Microcottus sellaris;DEF;non-target demersal fish;Demersal fish
MOX;MOX;NA;Ocean sunfish;Mola mola;DEF;not defined;Demersal fish
PAC;PAC;NA;Common pandora;Pagellus erythrinus;DEF;not defined;Demersal fish
PAO;PAO;NA;Parona leatherjacket;Parona signata;DEF;not defined;Demersal fish
PAR;PAR;NA;Red pandora;Pagellus bellottii;DEF;not defined;Demersal fish
PEL;PEL;NA;Pelagic fishes nei;Osteichthyes;SPF;not defined;Small pelagic fish
PIB;PIB;NA;Paraliparis meridionalis;Paraliparis meridionalis;DEF;not defined;Demersal fish
POP;POP;NA;Pompano;Trachinotus ovatus;DEF;not defined;Demersal fish
PRG;PRG;NA;Porgies;Calamus spp;DEF;not defined;Demersal fish
RBX;RBX;NA;Common guitarfish;Rhinobatos rhinobatos;DEF;not defined;Demersal fish
RDM;RDM;NA;Red drum;Sciaenops ocellatus;DEF;not defined;Demersal fish
RIC;RIC;NA;Corsula;Rhinomugil corsula;DEF;not defined;Demersal fish
RTC;RTC;NA;Arc-eye hawkfish;Paracirrhites arcatus;DEF;not defined;Demersal fish
SHD;SHD;NA;Allis and twaite shads;Alosa alosa, A. fallax;ANA;not defined;Anadromous species
SKL;SKL;NA;Rough leatherjackets;Scobinichthys granulatus;DEF;not defined;Demersal fish
SLM;SLM;NA;Salema;Sarpa salpa;DEF;not defined;Demersal fish
SMA;SMA;NA;Shortfin mako;Isurus oxyrinchus;LPF;not defined;Large pelagic fish
SNA;SNA;NA;Snappers nei;Lutjanus spp;DEF;not defined;Demersal fish
SNK;SNK;NA;Snoek;Thyrsites atun;DEF;not defined;Demersal fish
SNX;SNX;NA;Snappers, jobfishes nei;Lutjanidae;DEF;not defined;Demersal fish
SRK;SRK;NA;Painted comber;Serranus scriba;DEF;not defined;Demersal fish
STZ;STZ;NA;Giant stargazer;Kathetostoma giganteum;DEF;not defined;Demersal fish
SYT;SYT;NA;Nursehound;Scyliorhinus stellaris;DEF;not defined;Demersal fish
TRA;TRA;NA;Weeverfishes nei;Trachinidae;DEF;not defined;Demersal fish
TRG;TRG;NA;Grey triggerfish;Balistes carolinensis;DEF;not defined;Demersal fish
TRI;TRI;NA;Triggerfishes, durgons nei;Balistidae;DEF;not defined;Demersal fish
TSD;TSD;NA;Twaite shad;Alosa fallax;ANA;not defined;Anadromous species
UBS;UBS;NA;Drums nei;Umbrina spp;DEF;not defined;Demersal fish
UFB;UFB;NA;Sufflogobius bibarbatus;Sufflogobius bibarbatus;DEF;not defined;Demersal fish
WHL;WHL;NA;Lake(=Common) whitefish;Coregonus clupeaformis;DEF;not defined;Demersal fish
WRA;WRA;NA;Wrasses, hogfishes, etc. nei;Labridae;DEF;not defined;Demersal fish
WRF;WRF;NA;Wreckfish;Polyprion americanus;DEF;not defined;Demersal fish
ALM;ALM;NA;Unicorn leatherjacket filefish;Aluterus monoceros;DEF;not defined;Demersal fish
ALX;ALX;NA;Long snouted lancetfish;Alepisaurus ferox;DEF;not defined;Demersal fish
ASD;ASD;NA;Allis shad;Alosa alosa;ANA;not defined;Anadromous species
BOC;BOC;NA;Boarfish;Capros aper;DEF;non-target small pelagic fish;Demersal fish
BOL;BOL;NA;Bothrocara alalongum;Bothrocara alalongum;DEF;not defined;Demersal fish
BRD;BRD;NA;Bearded brotula;Brotula barbata;DEF;not defined;Demersal fish
BRI;BRI;NA;Bristlemouths;Gonostomatidae;DEF;not defined;Demersal fish
BSG;BSG;NA;Bathysauropsis gigas;Bathysauropsis gigas;DEF;not defined;Demersal fish
COX;COX;NA;Conger eels, etc. nei;Congridae;DEF;not defined;Demersal fish
CTE;CTE;NA;Spotless smooth-hound;Mustelus griseus;DEF;not defined;Demersal fish
CUE;CUE;NA;Caspian anadromous shad;Alosa kessleri;ANA;not defined;Anadromous species
FLF;FLF;NA;Filefishes nei;Cantherhines (=Navodon) spp;DEF;not defined;Demersal fish
GKL;GKL;NA;Common European bittersweet;Glycymeris glycymeris;MOL;not defined;Molluscs
GPX;GPX;NA;Groupers nei;Epinephelus spp;DEF;not defined;Demersal fish
GRE;GRE;NA;Greeneyes;Chlorophthalmidae;DEF;not defined;Demersal fish
GUK;GUK;NA;Gulaphallus bikolanus;Gulaphallus bikolanus;DEF;not defined;Demersal fish
HPX;HPX;NA;Spiny turbots nei;Psettodidae;DEF;not defined;Demersal fish
JOS;JOS;NA;Silvery John dory;Zenopsis conchifer;DEF;not defined;Demersal fish
JOX;JOX;NA;Johnius spp;Johnius spp;DEF;not defined;Demersal fish
LEC;LEC;NA;Escolar;Lepidocybium flavobrunneum;DEF;not defined;Demersal fish
LOB;LOB;NA;Tripletail;Lobotes surinamensis;DEF;not defined;Demersal fish
LSA;LSA;NA;Leptosynanceia asteroblepa;Leptosynanceia asteroblepa;DEF;not defined;Demersal fish
LYY;LYY;NA;Dragonet;Callionymus lyra;DEF;not defined;Demersal fish
MOR;MOR;NA;Moras nei;Moridae;DEF;not defined;Demersal fish
OIL;OIL;NA;Oilfish;Ruvettus pretiosus;DEF;not defined;Demersal fish
PAX;PAX;NA;Pandoras nei;Pagellus spp;DEF;not defined;Demersal fish
POX;POX;NA;Pompanos nei;Trachinotus spp;DEF;not defined;Demersal fish
RBI;RBI;NA;Rhinobatos irvinei;Rhinobatos irvinei;DEF;not defined;Demersal fish
RIB;RIB;NA;Common mora;Mora moro;DEF;not defined;Demersal fish
ROB;ROB;NA;Snooks(=Robalos) nei;Centropomus spp;DEF;not defined;Demersal fish
SAU;SAU;NA;Atlantic saury;Scomberesox saurus;DEF;not defined;Demersal fish
SPV;SPV;NA;Whitefin hammerhead;Sphyrna couardi;LPF;not defined;Large pelagic fish
SRJ;SRJ;NA;Brown comber;Serranus hepatus;DEF;not defined;Demersal fish
SUR;SUR;NA;Surgeonfishes nei;Acanthuridae;DEF;not defined;Demersal fish
SWR;SWR;NA;Red seaweeds;Rhodophyceae;ALG;not defined;Algae
SXY;SXY;NA;Californian needlefish;Strongylura exilis;DEF;not defined;Demersal fish
SYK;SYK;NA;Scyliorhinus tokubee;Scyliorhinus tokubee;DEF;not defined;Demersal fish
TGR;TGR;NA;South Australian cobbler;Gymnapistes marmoratus;DEF;not defined;Demersal fish
UMO;UMO;NA;Fusca drum;Umbrina ronchus;DEF;not defined;Demersal fish
VRA;VRA;NA;White-edged lyretail;Variola albimarginata;DEF;not defined;Demersal fish
WHE;WHE;NA;Whelk;Buccinum undatum;GAS;not defined;Gastropods
YNV;YNV;NA;Green weakfish;Cynoscion virescens;DEF;not defined;Demersal fish
ZGP;ZGP;NA;Topknot;Zeugopterus punctatus;DEF;not defined;Demersal fish
CEZ;CEZ;NA;Picarels, etc. nei;Centracanthidae;DEF;not defined;Demersal fish
AMB;AMB;NA;Greater amberjack;Seriola dumerili;DEF;not defined;Demersal fish
APH;APH;NA;Intermediate scabbardfish;Aphanopus intermedius;DEF;not defined;Demersal fish
ASZ;ASZ;NA;Razorback scabbardfish;Assurger anzac;DEF;not defined;Demersal fish
BBL;BBL;NA;Hairy toadfish;Batrachoides liberiensis;DEF;not defined;Demersal fish
BIN;BIN;NA;Bilabria ornata;Bilabria ornata;DEF;not defined;Demersal fish
CBE;CBE;NA;Blachea xenobranchialis;Blachea xenobranchialis;DEF;not defined;Demersal fish
CGZ;CGZ;NA;Conger eels nei;Conger spp;DEF;not defined;Demersal fish
CTA;CTA;NA;Castaneta;Cheilodactylus bergi;DEF;not defined;Demersal fish
CVJ;CVJ;NA;Crevalle jack;Caranx hippos;DEF;not defined;Demersal fish
DEX;DEX;NA;Dentex nei;Dentex spp;DEF;not defined;Demersal fish
DRU;DRU;NA;Sciaenas nei;Sciaena spp;DEF;not defined;Demersal fish
FCR;FCR;NA;Incongruous ark;Scapharca brasiliana;MOL;not defined;Molluscs
FLA;FLA;NA;Brazilian flathead;Percophis brasiliensis;DEF;not defined;Demersal fish
FON;FON;NA;Pholidichthys anguis;Pholidichthys anguis;DEF;not defined;Demersal fish
GOA;GOA;NA;West African goatfish;Pseudupeneus prayensis;DEF;not defined;Demersal fish
GOX;GOX;NA;Goatfishes;Upeneus spp;DEF;not defined;Demersal fish
GRO;GRO;NA;Groundfishes nei;Osteichthyes;DEF;not defined;Demersal fish
HKR;HKR;NA;Red hake;Urophycis chuss;DEF;not defined;Demersal fish
HKW;HKW;NA;White hake;Urophycis tenuis;DEF;not defined;Demersal fish
HPR;HPR;NA;Mediterranean slimehead;Hoplostethus mediterraneus;DEF;not defined;Demersal fish
JBA;JBA;NA;Anomalous lanternfish;Lampadena anomala;DEF;not defined;Demersal fish
LMA;LMA;NA;Longfin mako;Isurus paucus;LPF;not defined;Large pelagic fish
LZA;LZA;NA;Fusilier damselfish;Lepidozygus tapeinosoma;DEF;not defined;Demersal fish
MOJ;MOJ;NA;Mojarras(=Silver-biddies) nei;Gerres spp;DEF;not defined;Demersal fish
NEG;NEG;NA;Pale toadfish;Neophrynichthys angustus;DEF;not defined;Demersal fish
OLT;OLT;NA;Longjaw leatherjacket;Oligoplites altus;DEF;not defined;Demersal fish
PIC;PIC;NA;Picarels nei;Spicara spp;DEF;not defined;Demersal fish
POA;POA;NA;Atlantic pomfret;Brama brama;DEF;non-target demersal fish;Demersal fish
PRI;PRI;NA;Bigeyes,glasseyes,bulleyes nei;Priacanthidae;DEF;not defined;Demersal fish
RTG;RTG;NA;Trygonorrhina guaneria;Trygonorrhina guaneria;DEF;not defined;Demersal fish
SAX;SAX;NA;Sauries nei;Scomberesocidae;DEF;not defined;Demersal fish
SBE;SBE;NA;Lenok;Brachymystax lenok;DEF;not defined;Demersal fish
SCF;SCF;NA;Turbots nei;Scophthalmidae;DEF;not defined;Demersal fish
SGR;SGR;NA;Timucu;Strongylura timucu;DEF;not defined;Demersal fish
SKU;SKU;NA;Siokunichthys bentuviai;Siokunichthys bentuviai;DEF;not defined;Demersal fish
SOC;SOC;NA;Sockeye(=Red) salmon;Oncorhynchus nerka;ANA;not defined;Anadromous species
SPH;SPH;NA;Sheepshead;Archosargus probatocephalus;DEF;not defined;Demersal fish
SPL;SPL;NA;Scalloped hammerhead;Sphyrna lewini;LPF;not defined;Large pelagic fish
SRY;SRY;NA;Satyrichthys adeni;Satyrichthys adeni;DEF;not defined;Demersal fish
SYS;SYS;NA;Splitfins nei;Synagrops spp;DEF;not defined;Demersal fish
XOD;XOD;NA;Trisopterus nei;Trisopterus spp;DEF;not defined;Demersal fish
YCX;YCX;NA;Centroscyllium dogfishes nei;Centroscyllium spp;DEF;not defined;Demersal fish
ROK;ROK;NA;Rosefishes nei;Helicolenus spp;DEF;not defined;Demersal fish
ACT;ACT;NA;Margintail conger;Paraconger caudilimbatus;DEF;not defined;Demersal fish
ALL;ALL;NA;Warty dory;Allocyttus verrucosus;DEF;not defined;Demersal fish
BAF;BAF;NA;Flat needlefish;Ablennes hians;DEF;not defined;Demersal fish
BLV;BLV;NA;Queen triggerfish;Balistes vetula;DEF;not defined;Demersal fish
BLX;BLX;NA;Ballia;Ballia callitricha;ALG;not defined;Algae
BOJ;BOJ;NA;Fransmadam;Boopsoidea inornata;DEF;not defined;Demersal fish
BOS;BOS;NA;Pacific seabobs;Xiphopenaeus, Trachypenaeus spp;DEF;not defined;Demersal fish
